user_id,skills,education,work_experience,job_id,job_title,job_description,required_skills
78,"Node.js, Express, MongoDB",M.Sc in Data Science,3 years as Java Developer,178,Business Analyst,Analyze business data and provide actionable insights.,"Python, Machine Learning, SQL"
79,"TensorFlow, Deep Learning, NLP",M.Sc in Data Science,2 years as Data Analyst,179,Cloud Engineer,"Create and maintain user interfaces with HTML, CSS, JavaScript.","R, Statistics, Data Visualization"
80,"TensorFlow, Deep Learning, NLP",B.Tech in Mechanical Engineering,4 years as Fullstack Developer,180,Business Analyst,Develop web applications with both frontend and backend technologies.,"TensorFlow, Deep Learning, NLP"
81,"R, Statistics, Data Visualization",B.Sc in Computer Science,4 years as Fullstack Developer,181,Cloud Engineer,Design and develop machine learning models and workflows.,"C++, Data Structures, Algorithms"
82,"Python, Data Analysis, Pandas",MBA in IT Management,1 year as Frontend Developer,182,Machine Learning Engineer,Analyze business data and provide actionable insights.,"Java, Spring Boot, MySQL"
83,"Python, Data Analysis, Pandas",M.Sc in Data Science,2 years as Software Engineer,183,DevOps Engineer,Manage cloud infrastructure and CI/CD pipelines.,"TensorFlow, Deep Learning, NLP"
84,"Java, Spring Boot, MySQL",B.Sc in Computer Science,3 years as Java Developer,184,Software Engineer,Develop web applications with both frontend and backend technologies.,"HTML, CSS, JavaScript, React.js"
85,"C++, Data Structures, Algorithms",B.E in Information Technology,1 year as Cloud Engineer,185,Fullstack Developer,Manage cloud infrastructure and CI/CD pipelines.,"TensorFlow, Deep Learning, NLP"
86,"R, Statistics, Data Visualization",M.Tech in Artificial Intelligence,1 year as Software Engineer,186,Software Engineer,Develop web applications with both frontend and backend technologies.,"Node.js, Express, MongoDB"
87,"Ruby, Rails, PostgreSQL",B.Tech in Computer Science,1 year as Cloud Engineer,187,Cloud Engineer,"Analyze data, build predictive models, work with ML algorithms.","AWS, DevOps, Docker"
88,"Python, Data Analysis, Pandas",M.Tech in Artificial Intelligence,1 year as Cloud Engineer,188,Business Analyst,"Develop software applications, optimize algorithms, and solve complex problems.","R, Statistics, Data Visualization"
89,"C++, Data Structures, Algorithms",B.Tech in Electronics,1 year as Cloud Engineer,189,Cloud Engineer,"Analyze data, build predictive models, work with ML algorithms.","Node.js, Express, MongoDB"
90,"AWS, DevOps, Docker",M.Tech in Artificial Intelligence,3 years as Java Developer,190,Cloud Engineer,"Create and maintain user interfaces with HTML, CSS, JavaScript.","Ruby, Rails, PostgreSQL"
91,"TensorFlow, Deep Learning, NLP",B.Tech in Computer Science,1 year as Cloud Engineer,191,Data Scientist,Develop and maintain backend services using Java and MySQL.,"Node.js, Express, MongoDB"
92,"HTML, CSS, JavaScript, React.js",MBA in IT Management,3 years as Java Developer,192,Data Scientist,Design and develop machine learning models and workflows.,"Node.js, Express, MongoDB"
93,"AWS, DevOps, Docker",M.Sc in Data Science,4 years as Fullstack Developer,193,DevOps Engineer,Manage cloud infrastructure and CI/CD pipelines.,"Node.js, Express, MongoDB"
94,"Python, Data Analysis, Pandas",M.Tech in Artificial Intelligence,2 years as Software Engineer,194,Backend Developer,Analyze business data and provide actionable insights.,"Python, Machine Learning, SQL"
95,"TensorFlow, Deep Learning, NLP",B.Tech in Computer Science,3 years as Data Scientist,195,Software Engineer,Develop and maintain backend services using Java and MySQL.,"Python, Machine Learning, SQL"
96,"Python, Machine Learning, SQL",M.Sc in Data Science,1 year as Frontend Developer,196,Data Scientist,"Create and maintain user interfaces with HTML, CSS, JavaScript.","C++, Data Structures, Algorithms"
97,"HTML, CSS, JavaScript, React.js",MBA in IT Management,2 years as Data Analyst,197,Software Engineer,Analyze business data and provide actionable insights.,"Python, Data Analysis, Pandas"
98,"AWS, DevOps, Docker",B.Sc in Computer Science,2 years as Data Analyst,198,Frontend Developer,Design and develop machine learning models and workflows.,"Java, Spring Boot, MySQL"
99,"Ruby, Rails, PostgreSQL",B.Tech in Computer Science,2 years as Software Engineer,199,Fullstack Developer,Develop web applications with both frontend and backend technologies.,"C++, Data Structures, Algorithms"
100,"Java, Spring Boot, MySQL",M.Sc in Data Science,2 years as Data Analyst,200,Machine Learning Engineer,Develop and maintain backend services using Java and MySQL.,"Ruby, Rails, PostgreSQL"
